# material-design-x
bool,mtrl_btn_textappearance_all_caps
dimen,m3_carousel_small_item_size_max
dimen,m3_carousel_small_item_size_min
dimen,m3_chip_checked_hovered_translation_z
dimen,m3_chip_corner_size
dimen,m3_chip_disabled_translation_z
dimen,m3_chip_dragged_translation_z
dimen,m3_chip_elevated_elevation
dimen,m3_chip_hovered_translation_z
dimen,m3_chip_icon_size
dimen,m3_comp_app_bar_container_elevation
dimen,m3_comp_app_bar_large_container_height
dimen,m3_comp_app_bar_large_flexible_container_height
dimen,m3_comp_app_bar_medium_container_height
dimen,m3_comp_app_bar_medium_flexible_container_height
dimen,m3_comp_app_bar_on_scroll_container_elevation
dimen,m3_comp_app_bar_small_container_height
dimen,m3_comp_assist_chip_container_height
dimen,m3_comp_assist_chip_elevated_container_elevation
dimen,m3_comp_assist_chip_flat_container_elevation
dimen,m3_comp_assist_chip_flat_outline_width
dimen,m3_comp_assist_chip_with_icon_icon_size
dimen,m3_comp_badge_large_size
dimen,m3_comp_badge_size
dimen,m3_comp_bottom_app_bar_container_elevation
dimen,m3_comp_bottom_app_bar_container_height
dimen,m3_comp_button_elevated_container_elevation
dimen,m3_comp_button_elevated_disabled_container_elevation
dimen,m3_comp_button_filled_container_elevation
dimen,m3_comp_button_filled_disabled_container_elevation
dimen,m3_comp_button_group_connected_small_between_space
dimen,m3_comp_button_group_standard_small_between_space
dimen,m3_comp_button_large_icon_label_space
dimen,m3_comp_button_large_icon_size
dimen,m3_comp_button_large_leading_space
dimen,m3_comp_button_large_outlined_outline_width
dimen,m3_comp_button_large_trailing_space
dimen,m3_comp_button_medium_icon_label_space
dimen,m3_comp_button_medium_icon_size
dimen,m3_comp_button_medium_leading_space
dimen,m3_comp_button_medium_outlined_outline_width
dimen,m3_comp_button_medium_trailing_space
dimen,m3_comp_button_outlined_focused_state_layer_opacity
dimen,m3_comp_button_outlined_hovered_state_layer_opacity
dimen,m3_comp_button_outlined_pressed_state_layer_opacity
dimen,m3_comp_button_small_icon_label_space
dimen,m3_comp_button_small_icon_size
dimen,m3_comp_button_small_leading_space
dimen,m3_comp_button_small_outlined_outline_width
dimen,m3_comp_button_small_trailing_space
dimen,m3_comp_button_text_focused_state_layer_opacity
dimen,m3_comp_button_text_hovered_state_layer_opacity
dimen,m3_comp_button_text_pressed_state_layer_opacity
dimen,m3_comp_button_tonal_container_elevation
dimen,m3_comp_button_xlarge_icon_label_space
dimen,m3_comp_button_xlarge_icon_size
dimen,m3_comp_button_xlarge_leading_space
dimen,m3_comp_button_xlarge_outlined_outline_width
dimen,m3_comp_button_xlarge_trailing_space
dimen,m3_comp_button_xsmall_icon_label_space
dimen,m3_comp_button_xsmall_icon_size
dimen,m3_comp_button_xsmall_leading_space
dimen,m3_comp_button_xsmall_outlined_outline_width
dimen,m3_comp_button_xsmall_trailing_space
dimen,m3_comp_checkbox_selected_disabled_container_opacity
dimen,m3_comp_date_picker_modal_date_today_container_outline_width
dimen,m3_comp_date_picker_modal_header_container_height
dimen,m3_comp_date_picker_modal_range_selection_header_container_height
dimen,m3_comp_divider_thickness
dimen,m3_comp_elevated_card_container_elevation
dimen,m3_comp_elevated_card_icon_size
dimen,m3_comp_extended_fab_large_container_height
dimen,m3_comp_extended_fab_large_icon_label_space
dimen,m3_comp_extended_fab_large_icon_size
dimen,m3_comp_extended_fab_large_leading_space
dimen,m3_comp_extended_fab_large_trailing_space
dimen,m3_comp_extended_fab_medium_container_height
dimen,m3_comp_extended_fab_medium_icon_label_space
dimen,m3_comp_extended_fab_medium_icon_size
dimen,m3_comp_extended_fab_medium_leading_space
dimen,m3_comp_extended_fab_medium_trailing_space
dimen,m3_comp_extended_fab_primary_container_container_elevation
dimen,m3_comp_extended_fab_primary_container_focused_container_elevation
dimen,m3_comp_extended_fab_primary_container_focused_state_layer_opacity
dimen,m3_comp_extended_fab_primary_container_hovered_container_elevation
dimen,m3_comp_extended_fab_primary_container_hovered_state_layer_opacity
dimen,m3_comp_extended_fab_primary_container_pressed_container_elevation
dimen,m3_comp_extended_fab_primary_container_pressed_state_layer_opacity
dimen,m3_comp_extended_fab_small_container_height
dimen,m3_comp_extended_fab_small_icon_label_space
dimen,m3_comp_extended_fab_small_icon_size
dimen,m3_comp_extended_fab_small_leading_space
dimen,m3_comp_extended_fab_small_trailing_space
dimen,m3_comp_fab_container_height
dimen,m3_comp_fab_icon_size
dimen,m3_comp_fab_large_container_height
dimen,m3_comp_fab_large_icon_size
dimen,m3_comp_fab_medium_container_height
dimen,m3_comp_fab_medium_icon_size
dimen,m3_comp_fab_primary_container_container_elevation
dimen,m3_comp_fab_primary_container_focused_container_elevation
dimen,m3_comp_fab_primary_container_focused_state_layer_opacity
dimen,m3_comp_fab_primary_container_hovered_container_elevation
dimen,m3_comp_fab_primary_container_hovered_state_layer_opacity
dimen,m3_comp_fab_primary_container_pressed_container_elevation
dimen,m3_comp_fab_primary_container_pressed_state_layer_opacity
dimen,m3_comp_fab_small_container_height
dimen,m3_comp_fab_small_icon_size
dimen,m3_comp_filled_autocomplete_menu_container_elevation
dimen,m3_comp_filled_card_container_elevation
dimen,m3_comp_filled_card_dragged_state_layer_opacity
dimen,m3_comp_filled_card_focus_state_layer_opacity
dimen,m3_comp_filled_card_hover_state_layer_opacity
dimen,m3_comp_filled_card_icon_size
dimen,m3_comp_filled_card_pressed_state_layer_opacity
dimen,m3_comp_filled_text_field_disabled_active_indicator_opacity
dimen,m3_comp_filter_chip_container_height
dimen,m3_comp_filter_chip_elevated_container_elevation
dimen,m3_comp_filter_chip_flat_container_elevation
dimen,m3_comp_filter_chip_flat_unselected_outline_width
dimen,m3_comp_filter_chip_with_icon_icon_size
dimen,m3_comp_icon_button_large_default_leading_space
dimen,m3_comp_icon_button_large_default_trailing_space
dimen,m3_comp_icon_button_large_icon_size
dimen,m3_comp_icon_button_large_narrow_leading_space
dimen,m3_comp_icon_button_large_narrow_trailing_space
dimen,m3_comp_icon_button_large_outlined_outline_width
dimen,m3_comp_icon_button_large_wide_leading_space
dimen,m3_comp_icon_button_large_wide_trailing_space
dimen,m3_comp_icon_button_medium_default_leading_space
dimen,m3_comp_icon_button_medium_default_trailing_space
dimen,m3_comp_icon_button_medium_icon_size
dimen,m3_comp_icon_button_medium_narrow_leading_space
dimen,m3_comp_icon_button_medium_narrow_trailing_space
dimen,m3_comp_icon_button_medium_outlined_outline_width
dimen,m3_comp_icon_button_medium_wide_leading_space
dimen,m3_comp_icon_button_medium_wide_trailing_space
dimen,m3_comp_icon_button_small_default_leading_space
dimen,m3_comp_icon_button_small_default_trailing_space
dimen,m3_comp_icon_button_small_icon_size
dimen,m3_comp_icon_button_small_narrow_leading_space
dimen,m3_comp_icon_button_small_narrow_trailing_space
dimen,m3_comp_icon_button_small_outlined_outline_width
dimen,m3_comp_icon_button_small_wide_leading_space
dimen,m3_comp_icon_button_small_wide_trailing_space
dimen,m3_comp_icon_button_xlarge_default_leading_space
dimen,m3_comp_icon_button_xlarge_default_trailing_space
dimen,m3_comp_icon_button_xlarge_icon_size
dimen,m3_comp_icon_button_xlarge_narrow_leading_space
dimen,m3_comp_icon_button_xlarge_narrow_trailing_space
dimen,m3_comp_icon_button_xlarge_outlined_outline_width
dimen,m3_comp_icon_button_xlarge_wide_leading_space
dimen,m3_comp_icon_button_xlarge_wide_trailing_space
dimen,m3_comp_icon_button_xsmall_default_leading_space
dimen,m3_comp_icon_button_xsmall_default_trailing_space
dimen,m3_comp_icon_button_xsmall_icon_size
dimen,m3_comp_icon_button_xsmall_narrow_leading_space
dimen,m3_comp_icon_button_xsmall_narrow_trailing_space
dimen,m3_comp_icon_button_xsmall_outlined_outline_width
dimen,m3_comp_icon_button_xsmall_wide_leading_space
dimen,m3_comp_icon_button_xsmall_wide_trailing_space
dimen,m3_comp_input_chip_container_elevation
dimen,m3_comp_input_chip_container_height
dimen,m3_comp_input_chip_unselected_outline_width
dimen,m3_comp_input_chip_with_avatar_avatar_size
dimen,m3_comp_input_chip_with_leading_icon_leading_icon_size
dimen,m3_comp_loading_indicator_container_height
dimen,m3_comp_loading_indicator_container_width
dimen,m3_comp_menu_container_elevation
dimen,m3_comp_nav_bar_container_elevation
dimen,m3_comp_nav_bar_container_height
dimen,m3_comp_nav_bar_item_active_indicator_icon_label_space
dimen,m3_comp_nav_bar_item_horizontal_active_indicator_height
dimen,m3_comp_nav_bar_item_icon_size
dimen,m3_comp_nav_bar_item_vertical_active_indicator_height
dimen,m3_comp_nav_bar_item_vertical_active_indicator_width
dimen,m3_comp_nav_bar_item_vertical_container_between_space
dimen,m3_comp_nav_rail_collapsed_container_elevation
dimen,m3_comp_nav_rail_collapsed_container_width
dimen,m3_comp_nav_rail_collapsed_item_vertical_space
dimen,m3_comp_nav_rail_collapsed_narrow_container_width
dimen,m3_comp_nav_rail_collapsed_top_space
dimen,m3_comp_nav_rail_expanded_container_width_maximum
dimen,m3_comp_nav_rail_expanded_container_width_minimum
